CallSign,StationLat,StationLon,Service,RFChannel,LicenseExpirationDate,StatusDate,Status,CommunityCity,CommunityState,FacilityType,Frequency,ActiveInd,PartyName,PartyAddress1,PartyAddress2,PartyCity,PartyZip1,PartyState,PartyPhone,Format,station_latitude,station_longitude
WKCL,33.006833,-80.087861,FM Station,218,12/01/2027,,LICENSED,LADSON,SC,ED,91.5,Y,CHAPEL HOLY SPIRIT CHURCH & BIBLE COLLEGE,809 COLLEGE PARK RD,,LADSON,29456,SC,,Religious,33.006839,-80.087867
WQLQ,41.961722,-86.350583,FM Station,260,10/01/2028,,LICENSED,BENTON HARBOR,MI,CDT,99.9,Y,"WSJM, INC.",P.O. BOX 107,,ST. JOSEPH,49085,MI,2699251111,Top-40,41.961712,-86.350573
WIBG-FM,39.229167,-74.681389,FM Station,232,06/01/2022,,LICENSED,AVALON,NJ,H,94.3,Y,WIBG LIMITED LIABILITY COMPANY,87 EAST BRANCH ROAD,,ALLENTOWN,8501,NJ,(609)638-5680,Classic Hits,39.229282,-74.681272
KLMO-FM,28.943028,-99.280028,FM Station,255,08/01/2021,03/13/2001,LICENSED,DILLEY,TX,H,98.9,Y,HUMBERTO LOPEZ DBA DILLEY BROADCASTERS,"115 WEST AVENUE ""D""",,ROBSTOWN,78380,TX,(361)289-8877,Tejano,28.943025,-99.280038
KUFR,40.769111,-111.887444,FM Station,219,10/01/2029,,LICENSED,SALT LAKE CITY,UT,ED,91.7,Y,"FAMILY STATIONS, INC.",112 NORTH ELM STREET,,SHENANDOAH,51601,IA,(712)246-5151,Religious,40.769113,-111.887437
KBTO,48.851667,-100.334861,FM Station,270,04/01/2029,,LICENSED,BOTTINEAU,ND,H,101.9,Y,"PROGRAMMERS BROADCASTING, INC.",624 31ST AVE SW,,MINOT,58701,ND,(701)228-5151,Country,48.851673,-100.334860
WYMR,41.321611,-86.605944,FM Station,252,08/01/2028,02/03/2015,LICENSED,CULVER,IN,H,98.3,Y,"KANKAKEE VALLEY BROADCASTING CO., INC",400 WEST CULVER ROAD,,KNOX,46534,IN,,Classic Hits,41.321625,-86.605958
KVAZ,35.548167,-95.970833,FM Station,218,06/01/2029,,LICENSED,HENRYETTA,OK,EDT,91.5,Y,"SOUTH CENTRAL OKLAHOMA CHRISTIAN BROADCASTING, INC.",P.O. BOX 1343,,ADA,74820,OK,4052025645,Gospel Music,35.548161,-95.970830
KGYA,62.905389,-160.066278,FM Station,213,02/01/2030,05/22/2013,LICENSED,GRAYLING,AK,ED,90.5,Y,KUSKOKWIM PUBLIC BROADCASTING CORPORATION,BOX 70,,MCGRATH,99627,AK,(907)524-3001,Variety,62.905394,-160.066294
WTLQ-FM,26.488139,-81.92925,FM Station,249,02/01/2028,04/29/2002,LICENSED,PUNTA RASSA,FL,CDT,97.7,Y,FORT MYERS BROADCASTING COMPANY,2824 PALM BEACH BOULEVARD,,FORT MYERS,33916,FL,9413341111,Spanish Hits,26.488134,-81.929255
WIOK,38.587028,-84.361056,FM Station,298,08/01/2028,,LICENSED,FALMOUTH,KY,H,107.5,Y,"HAMMOND BROADCASTING, INC.",13297 GREEN ROAD,,WALTON,41094,KY,,Gospel Music,38.587016,-84.361048
WZKS,32.497639,-88.887278,FM Station,281,06/01/2028,11/24/1999,LICENSED,UNION,MS,H,104.1,Y,"MISSISSIPPI BROADCASTERS, L.L.C.",P.O. BOX 1699,,MERIDIAN,39302,MS,(601)693-2661,Urban Contemporary,32.497640,-88.887273
KIOS-FM,41.287472,-95.993889,FM Station,218,06/01/2029,,LICENSED,OMAHA,NE,ED,91.5,Y,DOUGLAS COUNTY SCHOOL DISTRICT 001,3230 BURT STREET,,OMAHA,68131,NE,(402)557-2555,Public Radio,41.287498,-95.993904
KDOV,42.295389,-122.805306,FM Station,219,02/01/2030,,LICENSED,MEDFORD,OR,EDT,91.7,Y,"theDove Media, Inc.",2070 Milligan Way,,Medford,97504,OR,5417765368,Religious,42.295406,-122.805315
KVLC,32.693111,-107.068889,FM Station,266,10/01/2029,,LICENSED,HATCH,NM,H,101.1,Y,"BRAVO MIC COMMUNICATIONS, LLC",101 PERKINS DRIVE,,LAS CRUCES,88005,NM,(505)527-1111,Classic Hits,32.693136,-107.068906
KCHQ,42.641583,-111.611889,FM Station,261,10/01/2021,03/27/2021,LICENSED,SODA SPRINGS,ID,CDT,100.1,Y,JACKSON HOLE MEDIA LLC,BOX 17,,ST. ANTHONY,83445,ID,7034652361,Country,42.641588,-111.611891
KVDP,31.589056,-92.516528,FM Station,206,06/01/2020,,LICENSED,DRY PRONG,LA,ED,89.1,Y,DRY PRONG EDUCATIONAL BROADCASTING FOUNDATION INC.,164 BUD WALKER ROAD,,DRY PRONG,71423,LA,(318)899-5837,Religious,31.589063,-92.516531
WALS,41.275583,-88.965361,FM Station,271,12/01/2028,,LICENSED,OGLESBY,IL,H,102.1,Y,"LACO RADIO, INC.",3905 PROGRESS BLVD.,,PERU,61354,IL,(815)224-2100,Country,41.275591,-88.965358
KFEZ,37.788889,-104.487194,FM Station,267,04/01/2029,02/02/2009,LICENSED,WALSENBURG,CO,H,101.3,Y,EDWARD MAGNUS,917 ANDOVER CT.,,PALATINE,60067,IL,,80's Rock,37.788900,-104.487198
KSPK-FM,37.6275,-104.821944,FM Station,272,04/01/2029,03/09/2000,LICENSED,WALSENBURG,CO,H,102.3,Y,"MAINSTREET BROADCASTING COMPANY, INC",516 MAIN STREET,,WALSENBURG,81089,CO,,Country,37.627512,-104.821933
KTAW,37.6275,-104.821944,FM Station,207,04/01/2029,02/10/2009,LICENSED,WALSENBURG,CO,EDT,89.3,Y,"Educational Communications of Colorado Springs, Inc.",1665 Briargate Blvd.,Suite 100,Colorado Springs,80920,CO,7195930600,Christian Contemporary,37.627512,-104.821933
WASL,36.100083,-89.48675,FM Station,261,08/01/2028,,LICENSED,DYERSBURG,TN,H,100.1,Y,"DR PEPPER PEPSI-COLA BOTTLING COMPANY OF DYERSBURG, LLC",2555 BURKS PLACE,,DYERSBURG,38024,TN,(731)285-1339,Adult Hits,36.100750,-89.486444
KFIN,35.798944,-90.742056,FM Station,300,06/01/2028,,LICENSED,JONESBORO,AR,H,107.9,Y,"EAST ARKANSAS BROADCASTERS OF JONESBORO, LLC",P.O. BOX 789,HIGHWAY 64 WEST,WYNNE,72396,AR,(870)238-8141,Country,35.798965,-90.742057
WDSO,41.608778,-87.060444,FM Station,202,08/01/2028,,LICENSED,CHESTERTON,IN,ED,88.3,Y,DUNELAND SCHOOL CORP.,2125 SOUTH 11TH STREET,,CHESTERTON,46304,IN,(219)983-3777,Grade School (K-12),41.634917,-87.049806
KCLL,31.530444,-100.485083,FM Station,261,08/01/2029,10/20/2000,LICENSED,SAN ANGELO,TX,CDT,100.1,Y,"FOSTER COMMUNICATIONS COMPANY, INC.",P.O. BOX 2191,,SAN ANGELO,76902,TX,3259492112,Classic Hits,31.530437,-100.485095
WGKR,42.398667,-74.589306,FM Station,287,06/01/2022,,LICENSED,GRAND GORGE,NY,ED,105.3,Y,"SOUND OF LIFE, INC.",PO BOX 777,199 TUYTENBRIDGE RD,LAKE KATRINE,12449,NY,,Christian Contemporary,42.398691,-74.589317
KEDB,40.889722,-93.024917,FM Station,287,02/01/2029,06/16/2000,LICENSED,CHARITON,IA,H,105.3,Y,"HONEY CREEK BROADCASTING, LLC",402 N 12TH ST,,CENTERVILLE,52544,IA,(800)373-4930,Oldies,40.889729,-93.024924
KMGM,44.856611,-95.62975,FM Station,288,04/01/2029,,LICENSED,MONTEVIDEO,MN,H,105.5,Y,"IOWA CITY BROADCASTING COMPANY, INC.",PO BOX 16683,5100 W 36TH STREET,MINNEAPOLIS,55416,MN,(952)913-4017,Classic Rock,44.856624,-95.629745
WHDQ,43.437583,-72.45175,FM Station,291,04/01/2022,,LICENSED,CLAREMONT,NH,H,106.1,Y,"Great Eastern Radio, LLC",35 South Main Street,Suite 300,Hanover,3755,NH,(603)643-4007,Classic Rock,43.437572,-72.451757
KOCP,34.422194,-119.035361,FM Station,284,12/01/2029,,LICENSED,OXNARD,CA,CDT,104.7,Y,POINT FOUR LLC,715 BROADWAY,SUITE 320,SANTA MONICA,90401,CA,3104514430,Rhythmic Oldies,34.422218,-119.035381
WKVF,35.154444,-89.822222,FM Station,235,08/01/2028,08/28/2002,LICENSED,BARTLETT,TN,ED,94.9,Y,EDUCATIONAL MEDIA FOUNDATION,5700 WEST OAKS BOULEVARD,,ROCKLIN,95765,CA,(916)251-1600,Christian Contemporary,35.154451,-89.822225
WDEE-FM,43.781417,-85.616167,FM Station,247,10/01/2020,,LICENSED,REED CITY,MI,H,97.3,Y,STEVEN V. BEILFUSS,P O BOX 722,,BIG RAPIDS,49307,MI,,Oldies,43.781407,-85.616162
KGKL-FM,31.49625,-100.41425,FM Station,248,08/01/2029,,LICENSED,SAN ANGELO,TX,H,97.5,Y,"Townsquare License, LLC",1 Manhattanville Road,Suite 202,Purchase,10577,NY,(203)861-0900,Country,31.496272,-100.414259
KBJS,32.061278,-95.314111,FM Station,212,08/01/2029,,LICENSED,JACKSONVILLE,TX,ED,90.3,Y,"EAST TEXAS MEDIA ASSOCIATION, INC.",336 PIN OAK DRIVE,,LITITZ,17543,PA,(717)572-0788,Religious,32.061274,-95.314117
KENW-FM,34.252333,-103.239583,FM Station,208,10/01/2029,,LICENSED,PORTALES,NM,ED,89.5,Y,EASTERN NEW MEXICO UNIVERSITY,52 BROADCAST CENTER,,PORTALES,88130,NM,(505)562-2112,Public Radio,34.252333,-103.239571
KAYT,31.565444,-92.550139,FM Station,201,06/01/2028,03/19/2001,LICENSED,JENA,LA,ED,88.1,Y,"BLACK MEDIA WORKS, INC.",1150 WEST KING STREET,,COCOA,32922,FL,(321)632-1000,Gospel Music,31.565453,-92.550143
WEXX,36.402056,-82.203194,FM Station,257,08/01/2028,09/21/2000,LICENSED,ELIZABETHTON,TN,H,99.3,Y,"BRISTOL BROADCASTING COMPANY, INC.",901 EAST VALLEY DRIVE,,BRISTOL,24201,VA,,Alternative,36.402052,-82.203187
KTKB-FM,13.487778,144.826667,FM Station,270,02/01/2030,08/21/2003,LICENSED,AGANA,GU,H,101.9,Y,"KM BROADCASTING OF GUAM, L.L.C.",3654 WEST JARVIS AVENUE,,SKOKIE,60076,IL,(847)674-0864,Asian,13.487778,+144.826667
WFWI,41.110889,-85.195528,FM Station,222,08/01/2028,,LICENSED,FORT WAYNE,IN,H,92.3,Y,PATHFINDER COMMUNICATIONS CORPORATION,245 WEST EDISON ROAD,SUITE 250,MISHAWAKA,46545,IN,(888)333-6133,Classic Hits,41.110881,-85.195528
WTAW-FM,31.361833,-95.971083,FM Station,278,08/01/2029,06/17/2015,LICENSED,BUFFALO,TX,CDT,103.5,Y,BRYAN BROADCASTING LICENSE CORPORATION,P.O. BOX 3248,,BRYAN,77805,TX,9796959595,Classic Country,31.361845,-95.971071
WBBI,42.138139,-75.999361,FM Station,298,06/01/2022,,LICENSED,ENDWELL,NY,H,107.5,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,SUITE 501,TULSA,74136,OK,(918)664-4581,Country,42.138131,-75.999366
KLVC,39.962389,-121.712194,FM Station,202,12/01/2029,,LICENSED,MAGALIA,CA,ED,88.3,Y,EDUCATIONAL MEDIA FOUNDATION,5700 WEST OAKS BLVD,,ROCKLIN,95765,CA,(916)251-1600,Christian Contemporary,39.961167,-121.711944
KBUC,26.636167,-97.836667,FM Station,271,08/01/2029,,LICENSED,RAYMONDVILLE,TX,H,102.1,Y,LEADING MEDIA GROUP CORP.,5633 RICHMOND AVENUE,,HOUSTON,77057,TX,(281)974-4347,Tejano,26.636174,-97.836664
WKDU,39.960111,-75.190444,FM Station,219,08/01/2030,,LICENSED,PHILADELPHIA,PA,EDT,91.7,Y,DREXEL UNIVERSITY,3141 CHESTNUT STREET,,PHILADELPHIA,19104,PA,2158952000,College,39.960113,-75.190457
KQQK,30.017167,-94.546583,FM Station,300,08/01/2029,,LICENSED,BEAUMONT,TX,H,107.9,Y,ESTRELLA RADIO LICENSE OF HOUSTON LLC,1845 EMPIRE AVENUE,,BURBANK,91504,CA,(818)729-5300,Regional Mexican,30.017159,-94.546583
KTLF,38.745278,-104.861361,FM Station,213,04/01/2029,03/25/2002,LICENSED,COLORADO SPRINGS,CO,EDT,90.5,Y,"Educational Communications of Colorado Springs, Inc.",1665 Briargate Blvd.,Suite 100,Colorado Springs,80920,CO,7195930600,Christian Contemporary,38.745269,-104.861361
WZTZ,,,FM Station,266,04/01/2028,09/01/2021,LICENSED,ELBA,AL,CDT,101.1,Y,"BOLL WEEVIL COMMUNICATIONS, LLC",100 NORTH MAIN STREET,,ENTERPRISE,36330,AL,3343475621,Sports,31.411667,-85.958889
KCCR-FM,44.311639,-100.352917,FM Station,283,04/01/2029,12/05/2014,LICENSED,BLUNT,SD,H,104.5,Y,RIVERFRONT BROADCASTING LLC,407 WEST 11TH STREET,,YANKTON,57078,SD,(605)661-2393,Rock,44.311650,-100.352911
WVFB,36.557833,-85.604139,FM Station,268,08/01/2028,,LICENSED,CELINA,TN,H,101.5,Y,"FRANK KEETON AIRCASTERS, INC.",341 RADIO STATION ROAD,,TOMPKINSVILLE,42167,KY,(270)487-6119,Country,36.557838,-85.604139
WRZI,37.672556,-85.74275,FM Station,297,08/01/2028,,LICENSED,HODGENVILLE,KY,H,107.3,Y,"ELIZABETHTOWN CBC, INC.",P.O. BOX 1505,,GLASGOW,42142,KY,(270)659-2002,Classic Rock,37.672562,-85.742738
WIBC,39.767556,-86.003306,FM Station,226,08/01/2028,,LICENSED,INDIANAPOLIS,IN,CDT,93.1,Y,"Radio One of Indiana, LLC",1010 Wayne Avenue,14th Floor,Silver Spring,20910,MD,3012668476,News/Talk,39.767542,-86.003315
WMNR,41.318972,-73.253167,FM Station,201,04/01/2030,,LICENSED,MONROE,CT,ED,88.1,Y,"TOWN OF MONROE, CONNECTICUT",MONROE TOWN HALL,7 FAN HILL ROAD,MONROE,6468,CT,(203)452-2821,Classical,41.318985,-73.253171
KXHT,35.156472,-90.096194,FM Station,296,06/01/2028,,LICENSED,MARION,AR,H,107.1,Y,FLINN BROADCASTING CORPORATION,6080 MT. MORIAH EXT.,,MEMPHIS,38115,TN,(901)375-9324,Hip-Hop,35.156479,-90.096203
WZTK,45.066111,-83.484972,FM Station,289,10/01/2028,07/30/2014,LICENSED,ALPENA,MI,H,105.7,Y,"WATZ RADIO, INC.",314 EAST FRONT STREET,,TRAVERSE CITY,49684,MI,,Oldies,45.066123,-83.484977
WMXW,42.061194,-75.945472,FM Station,277,06/01/2022,,LICENSED,VESTAL,NY,H,103.3,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,SUITE 501,TULSA,74136,OK,(918)664-4581,Adult Contemporary,42.061187,-75.945474
WBNW-FM,42.138139,-75.999361,FM Station,289,06/01/2022,,LICENSED,ENDICOTT,NY,H,105.7,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,SUITE 501,TULSA,74136,OK,(918)664-4581,Top-40,42.138131,-75.999366
WJQZ,42.056722,-78.009167,FM Station,278,06/01/2022,,LICENSED,WELLSVILLE,NY,H,103.5,Y,"DBM COMMUNICATIONS, INC.",82 RAILROAD AVENUE,,WELLSVILLE,14895,NY,(585)593-6070,Oldies,42.056735,-78.009170
WWPC,43.400333,-71.157,FM Station,219,04/01/2030,02/12/2016,LICENSED,NEW DURHAM,NH,ED,91.7,Y,WORD RADIO EDUCATIONAL FOUNDATION,P.O. BOX 398,,NEW DURHAM,3855,NH,(603)765-8386,Religious,43.400358,-71.157010
WYGE,37.150361,-83.992139,FM Station,222,08/01/2028,11/07/2001,LICENSED,LONDON,KY,H,92.3,Y,"ETHEL HUFF BROADCASTING, LLC",201 EAST SECOND STREET,,LONDON,40741,KY,(606)877-1326,Religious,37.150368,-83.992151
KRZA,36.860306,-106.007528,FM Station,204,04/01/2029,,LICENSED,ALAMOSA,CO,ED,88.7,Y,EQUAL REPRESENTATION OF MEDIA ADVOCACY CORP.,528 9TH STREET,,ALAMOSA,81101,CO,(719)589-8844,Public Radio,36.860294,-106.007518
KBFB,32.584028,-96.963611,FM Station,250,08/01/2029,,LICENSED,DALLAS,TX,H,97.9,Y,"RADIO ONE LICENSES, LLC","1010 WAYNE AVENUE, 14TH FLOOR",,SILVER SPRING,20910,MD,(301)429-3200,Hip-Hop,32.584025,-96.963615
KJML,37.237556,-94.737722,FM Station,296,06/01/2029,,LICENSED,COLUMBUS,KS,CDT,107.1,Y,AMERICAN MEDIA INVESTMENTS INC.,1162 E HIGHWAY 126,,PITTSBURG,66762,KS,6202317200,Rock,37.237557,-94.737735
KEKA-FM,40.419833,-124.084472,FM Station,268,12/01/2029,,LICENSED,EUREKA,CA,H,101.5,Y,"EUREKA BROADCASTING CO., INC.",1101 MARSH ROAD,,EUREKA,95501,CA,(707)442-5744,Classic Country,40.419859,-124.084490
WKZL,36.275944,-79.940583,FM Station,298,12/01/2027,10/12/2001,LICENSED,WINSTON-SALEM,NC,CDT,107.5,Y,"DICK BROADCASTING COMPANY, INC. OF TENNESSEE",192 EAST LEWIS STREET,,GREENSBORO,27406,NC,8655886511,Top-40,36.275969,-79.940593
WPHD,42.251444,-76.881056,FM Station,254,06/01/2022,,LICENSED,CORNING,NY,H,98.7,Y,"Southern Belle, LLC",115 WEST MAIN STREET,,Frankfort,40601,KY,(502)875-1130,Classic Hits,42.142018,-77.077469
WRDE-FM,,,FM Station,280,10/01/2027,,LICENSED,BERLIN,MD,CDT,103.9,Y,"WBOC, Inc.",1729 North Salisbury Blvd.,,Salisbury,21801,MD,4438809090,Country,38.382894,-75.315748
KSOS,36.008028,-115.006361,FM Station,213,10/01/2029,,LICENSED,LAS VEGAS,NV,ED,90.5,Y,FAITH COMMUNICATIONS CORPORATION,2201 SOUTH 6TH STREET,,LAS VEGAS,89103,NV,,Christian Contemporary,36.008033,-115.006381
WEZN-FM,41.278972,-73.185111,FM Station,260,04/01/2030,01/30/2001,LICENSED,BRIDGEPORT,CT,H,99.9,Y,"CONNOISSEUR MEDIA LICENSES, LLC",180 POST ROAD EAST,SUITE 201,WESTPORT,6880,CT,(203)227-1978,Hot AC,41.278985,-73.185113
WNBY-FM,46.449472,-85.101194,FM Station,230,10/01/2020,01/14/2000,LICENSED,NEWBERRY,MI,H,93.9,Y,"SOVEREIGN COMMUNICATIONS, LLC",P.O. BOX 1230,,SAULT STE. MARIE,49783,MI,(906)632-2231,Oldies,46.449460,-85.101201
WSUE,46.437806,-84.378361,FM Station,267,10/01/2020,,LICENSED,SAULT STE. MARIE,MI,H,101.3,Y,"SOVEREIGN COMMUNICATIONS, LLC",P.O. BOX 1230,,SAULT STE. MARIE,49783,MI,(906)632-2231,Rock,46.437800,-84.378373
WPKV,40.472,-79.994222,FM Station,252,08/01/2030,08/08/2002,LICENSED,DUQUESNE,PA,EDT,98.3,Y,EDUCATIONAL MEDIA FOUNDATION,5700 WEST OAKS BLVD.,,ROCKLIN,95765,CA,9162511600,Christian Contemporary,40.472013,-79.994219
KHMS,34.611083,-117.28975,FM Station,203,12/01/2029,,LICENSED,VICTORVILLE,CA,ED,88.5,Y,FAITH COMMUNICATIONS CORP.,2201 S. 6'TH STREET,,LAS VEGAS,89104,NV,(702)731-5452,Christian Contemporary,34.611103,-117.289768
KKWG,59.959222,-162.888833,FM Station,227,02/01/2030,,LICENSED,KONGIGANAK,AK,ED,93.3,Y,"BETHEL BROADCASTING, INC.",P.O. BOX 468,640 RADIO ST,BETHEL,99559,AK,(907)543-3131,Unknown Format,59.959222,-162.888833
WRCD,44.598944,-74.772972,FM Station,268,06/01/2030,,LICENSED,CANTON,NY,CDT,101.5,Y,"STEPHENS MEDIA GROUP MASSENA, LLC","2448 E. 81ST STREET, SUITE 5500",,TULSA,74137,OK,9184922660,Classic Rock,44.598949,-74.772969
WVLO,40.663778,-84.085861,FM Station,257,10/01/2028,01/31/2013,LICENSED,CRIDERSVILLE,OH,ED,99.3,Y,EDUCATIONAL MEDIA FOUNDATION,5700 WEST OAKS BLVD,,ROCKLIN,95765,CA,,Christian Contemporary,40.663772,-84.085863
WRIO,18.025778,-66.6535,FM Station,266,02/01/2028,,LICENSED,PONCE,PR,H,101.1,Y,ARSO RADIO CORPORATION,P.O. BOX 363222,,SAN JUAN,936,PR,(787)474-0630,Tropical,18.025798,-66.653507
KZKZ-FM,35.228972,-94.262722,FM Station,292,06/01/2028,07/25/2001,LICENSED,GREENWOOD,AR,H,106.3,Y,"FAMILY COMMUNICATIONS, INC.",6420 SOUTH ZERO,,FORT SMITH,72903,AR,,Christian Contemporary,35.228983,-94.262711
WCIK,42.470528,-77.536,FM Station,276,06/01/2022,,LICENSED,AVOCA,NY,ED,103.1,Y,"FAMILY LIFE MINISTRIES, INC.",PO BOX 506,,BATH,14810,NY,(607)776-4151,Religious,42.470541,-77.536017
WCOU,42.826722,-78.206667,FM Station,202,06/01/2022,07/27/2000,LICENSED,ATTICA,NY,ED,88.3,Y,"FAMILY LIFE MINISTRIES, INC.",P.O. BOX 506,,BATH,14810,NY,(607)776-4151,Religious,42.826727,-78.206680
WCII,42.013944,-76.264361,FM Station,203,06/01/2022,,LICENSED,SPENCER,NY,ED,88.5,Y,"FAMILY LIFE MINISTRIES, INC.",PO BOX 506,,BATH,14810,NY,(607)776-4151,Religious,42.013964,-76.264377
WCOV-FM,42.118417,-78.178167,FM Station,206,06/01/2022,,LICENSED,FRIENDSHIP,NY,ED,89.1,Y,"FAMILY LIFE MINISTRIES, INC.",P.O. BOX 506,,BATH,14810,NY,(607)776-4151,Religious,42.118417,-78.178167
WCIH,41.89425,-76.858583,FM Station,212,08/01/2022,08/27/2001,LICENSED,RIDGEBURY,PA,ED,90.3,Y,"FAMILY LIFE MINISTRIES, INC.",PO BOX 506,,BATH,14810,NY,(607)776-4151,Religious,42.031944,-76.783611
WCIH,41.89425,-76.858583,FM Station,212,08/01/2022,08/27/2001,LICENSED,RIDGEBURY,PA,ED,90.3,Y,"FAMILY LIFE MINISTRIES, INC.",PO BOX 506,,BATH,14810,NY,(607)776-4151,Religious,42.031944,-76.783611
WCIY,42.745611,-77.425806,FM Station,205,06/01/2022,05/20/2002,LICENSED,CANANDAIGUA,NY,ED,88.9,Y,"FAMILY LIFE MINISTRIES, INC.",PO BOX 506,,BATH,14810,NY,(607)776-4151,Religious,42.745621,-77.425821
WOTL,,,FM Station,212,10/01/2028,,LICENSED,TOLEDO,OH,ED,90.3,Y,"FAMILY STATIONS, INC.",112 NORTH ELM STREET,,SHENANDOAH,51601,IA,(712)246-5151,Religious,41.646718,-83.606046
WXZQ,39.098139,-82.955444,FM Station,261,10/01/2028,,LICENSED,PIKETON,OH,H,100.1,Y,DBA PIKETON COMMUNICATIONS,P. O. BOX 894,,PIKETON,45661,OH,,Top-40,39.098125,-82.955454
KHAP,39.726833,-121.68025,FM Station,206,12/01/2029,,LICENSED,CHICO,CA,ED,89.1,Y,"FAMILY STATIONS, INC.",112 NORTH ELM STREET,,SHENANDOAH,51601,IA,(712)246-5151,Religious,39.726828,-121.680253
WWFR,27.120889,-80.3995,FM Station,219,02/01/2028,11/08/2011,LICENSED,STUART,FL,ED,91.7,Y,"FAMILY STATIONS, INC.",112 NORTH ELM STREET,,SHENANDOAH,51601,IA,(712)246-5151,Religious,27.120884,-80.399495
KXWI,48.058639,-104.001889,FM Station,253,04/01/2029,10/02/2014,LICENSED,WILLISTON,ND,H,98.5,Y,WILLISTON COMMUNITY BROADCASTING,210 SOUTH DOUGLAS,,GLENDIVE,59330,MT,(701)572-4478,Country,48.058632,-104.001877
KJVH,46.164278,-122.854806,FM Station,208,02/01/2030,05/16/2017,LICENSED,LONGVIEW,WA,ED,89.5,Y,"FAMILY STATIONS, INC.",112 NORTH ELM STREET,,SHENANDOAH,51601,IA,(712)246-5151,Religious,46.164279,-122.854832
KPRA,39.116833,-123.232778,FM Station,208,12/01/2029,11/10/1999,LICENSED,UKIAH,CA,ED,89.5,Y,"FAMILY STATIONS, INC.",112 NORTH ELM STREET,,SHENANDOAH,51601,IA,(712)246-5151,Religious,39.116838,-123.232784
WIMC,40.135028,-86.903889,FM Station,280,08/01/2028,,LICENSED,CRAWFORDSVILLE,IN,H,103.9,Y,"C.V.L. BROADCASTING, INC.",P.O. BOX 1450,,CORBIN,40702,KY,,Classic Hits,40.135040,-86.903896
WKCC,32.432917,-84.9505,FM Station,213,04/01/2028,05/01/2009,LICENSED,COLUMBUS,GA,EDT,90.5,Y,EDUCATIONAL MEDIA FOUNDATION,5700 WEST OAKS BLVD.,,ROCKLIN,95765,CA,9162511600,Christian Contemporary,32.432922,-84.950487
WFCH,32.817944,-79.835361,FM Station,203,12/01/2027,,LICENSED,CHARLESTON,SC,ED,88.5,Y,"FAMILY STATIONS, INC.",112 NORTH ELM STREET,,SHENANDOAH,51601,IA,(712)246-5151,Religious,32.817954,-79.835362
WJFR,30.328861,-81.694806,FM Station,204,02/01/2028,10/29/2020,LICENSED,JACKSONVILLE,FL,ED,88.7,Y,"FAMILY STATIONS, INC.",112 NORTH ELM STREET,,SHENANDOAH,51601,IA,(712)246-5151,Religious,30.328851,-81.694819
WCHC,42.237583,-71.808111,FM Station,201,04/01/2030,,LICENSED,WORCESTER,MA,EDT,88.1,Y,COLLEGE OF THE HOLY CROSS,1 COLLEGE STREET,,Worchester,1610,MA,5087933010,College,42.237593,-71.808127
WFRS,40.807611,-73.179556,FM Station,205,06/01/2022,04/27/2012,LICENSED,SMITHTOWN,NY,ED,88.9,Y,"FAMILY STATIONS, INC.",112 NORTH ELM STREET,,SHENANDOAH,51601,IA,(712)246-5151,Religious,40.807598,-73.179558
WYTN,41.057833,-80.644806,FM Station,219,10/01/2028,,LICENSED,YOUNGSTOWN,OH,ED,91.7,Y,"FAMILY STATIONS, INC.",112 NORTH ELM STREET,,SHENANDOAH,51601,IA,(712)246-5151,Religious,41.057837,-80.644797
WKVP,39.909278,-75.099611,FM Station,295,06/01/2030,,LICENSED,CAMDEN,NJ,EDT,106.9,Y,EDUCATIONAL MEDIA FOUNDATION,5700 WEST OAKS BLVD.,,ROCKLIN,95765,CA,9162511600,Christian Contemporary,39.909280,-75.099619
WRXV,40.9195,-77.974167,FM Station,206,08/01/2030,08/23/2004,LICENSED,STATE COLLEGE,PA,EDT,89.1,Y,INVISIBLE ALLIES MINISTRIES,2820 East College Avenue,Suite A,STATE COLLEGE,16801,PA,8148673836,Christian Contemporary,40.919502,-77.974171
KQPM,39.130806,-123.076889,FM Station,290,12/01/2029,,LICENSED,UKIAH,CA,H,105.9,Y,"BICOASTAL MEDIA LICENSES, LLC",1 BLACKFIELD DRIVE # 333,,TIBURON,94920,CA,(415)789-5035,Country,39.130806,-123.076889
KQFE,44.002917,-123.114528,FM Station,205,02/01/2030,,LICENSED,SPRINGFIELD,OR,ED,88.9,Y,"FAMILY STATIONS, INC.",112 NORTH ELM STREET,,SHENANDOAH,51601,IA,(712)246-5151,Religious,44.002902,-123.114531
KPHF,33.596417,-112.092639,FM Station,202,10/01/2029,11/03/1999,LICENSED,PHOENIX,AZ,ED,88.3,Y,"FAMILY STATIONS, INC.",112 NORTH ELM STREET,,SHENANDOAH,51601,IA,(712)246-5151,Religious,33.596430,-112.092650
KLTA-FM,46.759694,-96.607861,FM Station,254,04/01/2029,,LICENSED,MOORHEAD,MN,H,98.7,Y,"RADIO FARGO-MOORHEAD, INC.",P.O. BOX 9439,,FARGO,58106,ND,(701)277-4200,Hot AC,46.759684,-96.607853
